event_name,title,start_date,end_date,hide
Academya - Software Engineering,Registrasi Peserta,2/1/2025,2/12/2025,
Academya - Software Engineering,Announcement Phase 1,2/17/2025,,
Academya - Software Engineering,Announcement Phase 2,2/26/2025,,
Academya - Software Engineering,Academya Session,3/1/2025,3/22/2025,
Academya - Data Science,Registrasi Peserta,2/1/2025,2/12/2025,
Academya - Data Science,Announcement Phase 1,2/17/2025,,
Academya - Data Science,Announcement Phase 2,2/26/2025,,
Academya - Data Science,Academya Session,3/1/2025,3/22/2025,
Academya - Product Management,Registrasi Peserta,2/1/2025,2/12/2025,
Academya - Product Management,Announcement Phase 1,2/17/2025,,
Academya - Product Management,Announcement Phase 2,2/26/2025,,
Academya - Product Management,Academya Session,3/1/2025,3/22/2025,
Academya - UI UX,Registrasi Peserta,2/1/2025,2/12/2025,
Academya - UI UX,Announcement Phase 1,2/17/2025,,
Academya - UI UX,Announcement Phase 2,2/26/2025,,
Academya - UI UX,Academya Session,3/1/2025,3/22/2025,
